salbaldesign	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Ballot layout and design in-house	Costs to layout, design and proof ballots by in-house staff.
salbaltrans	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Ballot translation in-house	Costs to translate ballots by in-house staff.
salbalorder	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Ballot ordering	Ballot ordering includes preparation of competitive bids, analysis of bids, contract preparation and review, bid award process, and other by in-house staff.
salbalmail	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Sample ballot mailing 	Sample ballot mailing includes coordinating with USPS, contract with mail vendor, labeling sample ballots, and other ballot mailing activities performed by in-house staff.
salbalother	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Other 	Other in-house labor related to ballots, such as: data entry, quality control, invoice review and payment, etc.
salbalpsrp	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Salaries Permanent staff Regular pay	Permanent staff regular pay for performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salbalpsop	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Salaries Permanent staff Overtime pay	Permanent staff overtime pay for performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salbaltsrp	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Salaries Temporary staff Regular pay	Temporary staff regular pay for performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salbaltsop	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Salaries Temporary staff Overtime pay	Temporary staff overtime pay for performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salbalbeps	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Benefits Permanent staff In dollars	Total benefits in dollars for permanent staff performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other.
salbalbepsp	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Benefits Permanent staff In percent	Total benefits in percent for permanent staff performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other.
salbalbets	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Benefits Temporary staff  In dollars	Total benefits in dollars for temporary staff performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other.
salbalbetsp	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Benefits Temporary staff In percent	Total benefits in percent for temporary staff performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other.
salbalhrsps	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Hours worked Permanent staff	Hours worked by permanent staff on tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salbalhrsts	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	Hours worked Temporary staff	Hours worked by temporary staff on tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salbalcomment	salbals	salaries	Salaries related to sample, official, provisional and VBM ballots	General Comments & Concerns about this section	General Comments & Concerns about this section
salppsurvey	salpps	salaries	Salaries related to polling places (including early voting locations)	Surveying and securing polling places 	Surveying and securing polling places includes contract preparation, arrangements for insurance, arranging access for disabled voters, and other task performed by in-house staff.
salpporder	salpps	salaries	Salaries related to polling places (including early voting locations)	Ordering equipment and polling place supplies	Ordering equipment and polling place supplies includes preparation of RFP, contracting, and other task performed by in-house staff.
salppve	salpps	salaries	Salaries related to polling places (including early voting locations)	Assigning voting equipment	Assigning voting equipment to polling places by in-house staff.
salppdelve	salpps	salaries	Salaries related to polling places (including early voting locations)	Coordinating, scheduling, delivery and pick-up 	Coordinating, scheduling, delivery and pick-up of voting equipment and supplies to and from the polling place by in-house staff.
salpppay	salpps	salaries	Salaries related to polling places (including early voting locations)	Processing payment 	In-house processing payments for use of polling sites, delivery services and supplies.
salpppubnot	salpps	salaries	Salaries related to polling places (including early voting locations)	Preparation of public notice	Preparation of any legal notices or press releases regarding polling place locations by in-house staff.
salppemattr	salpps	salaries	Salaries related to polling places (including early voting locations)	Election materials/recordings - translation	In-house staff costs to translate election materials/recordings used at the polling places during an election. 
salppoth	salpps	salaries	Salaries related to polling places (including early voting locations)	Other	Other in-house labor related to polling places, such as consolidation of precincts, map preparation, voting equipment troubleshooting/service/maintenance, packing polling place supplies, rov administration, polling place supervision/coordination, post-election mop-up, etc.
salpppsrp	salpps	salaries	Salaries related to polling places (including early voting locations)	Salaries Permanent staff Regular pay	Permanent staff regular pay for performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpppsop	salpps	salaries	Salaries related to polling places (including early voting locations)	Salaries Permanent staff Overtime pay	Permanent staff overtime pay for performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpptsrp	salpps	salaries	Salaries related to polling places (including early voting locations)	Salaries Temporary staff Regular pay	Temporary staff regular pay for performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpptsop	salpps	salaries	Salaries related to polling places (including early voting locations)	Salaries Temporary staff Overtime pay	Temporary staff overtime pay for performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salppbeps	salpps	salaries	Salaries related to polling places (including early voting locations)	Benefits Permanent staff In dollars	Total benefits in dollars for permanent staff performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other. 
salppbepsp	salpps	salaries	Salaries related to polling places (including early voting locations)	Benefits Permanent staff In percent	Total benefits in percent for permanent staff performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salppbets	salpps	salaries	Salaries related to polling places (including early voting locations)	Benefits Temporary staff  In dollars	Total benefits in dollars for temporary staff performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other. 
salppbetsp	salpps	salaries	Salaries related to polling places (including early voting locations)	Benefits Temporary staff In percent	Total benefits in percent for temporary staff performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpphrsps	salpps	salaries	Salaries related to polling places (including early voting locations)	Hours worked Permanent staff	Hours worked by permanent staff on tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpphrsts	salpps	salaries	Salaries related to polling places (including early voting locations)	Hours worked Temporary staff	Hours worked by temporary staff on tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salppcomment	salpps	salaries	Salaries related to polling places (including early voting locations)	General Comments & Concerns about this section	General Comments & Concerns about this section
salpwrec	salpws	salaries	Salaries related to poll workers (including early voting locations)	Poll worker recruitment in-house - exclude multilingual	Includes preparation of recruitment and availability letters and recruitment notices, meetings with large employers/schools/government entities about poll worker recruitment, etc. Exclude multilingual.
salpwrecm	salpws	salaries	Salaries related to poll workers (including early voting locations)	Poll worker recruitment in-house - multilingual only	Includes preparation of recruitment and availability letters and recruitment notices, meetings with large employers/schools/government entities about poll worker recruitment, etc. Multilingual only.
salpwdvtrain	salpws	salaries	Salaries related to poll workers (including early voting locations)	Development of poll worker training in-house	In-house development of training manual and audio-visual aids for poll worker training.
